question,answer,category
퓨쳐시스템의 경쟁력은 무엇인가요?,오랜 역사와 전문성을 바탕으로 한 신뢰성과 다양한 보안 솔루션 제공이 경쟁력입니다.,일반정보
보안이 왜 중요한가요?,사이버 공격이 증가하는 현대 사회에서 기업 정보와 고객 데이터를 보호하기 위해 필수적입니다.,일반정보
네트워크 보안과 일반 보안의 차이는 무엇인가요?,네트워크 보안은 네트워크 레벨에서의 위협을 차단하고 통신을 보호하는 것에 특화되어 있습니다.,일반정보
정보보호 전문기업이란 무엇인가요?,정보 시스템과 데이터를 각종 위협으로부터 보호하는 기술과 서비스를 제공하는 전문 기업입니다.,일반정보
보안 솔루션 도입 절차는 어떻게 되나요?,"문의 → 상담 → 제안 → 계약 → 설치 → 교육 → 운영 순서로 진행됩니다.",일반정보
클라우드 보안과 일반 보안의 차이는 무엇인가요?,클라우드 환경의 특성을 고려한 보안으로 가상화와 멀티테넌시 환경에 최적화되어 있습니다.,일반정보
방화벽만 있으면 안전한가요?,"방화벽은 기본적인 보안이지만, 완벽한 보안을 위해서는 다층 보안 전략이 필요합니다.",일반정보
SSL VPN과 일반 VPN의 차이는 무엇인가요?,SSL VPN은 웹브라우저 기반으로 별도 클라이언트 설치 없이 안전한 접속이 가능합니다.,일반정보
무선 네트워크 보안이 왜 중요한가요?,무선 네트워크는 물리적 연결 없이 접근 가능하여 보안 위협에 더 취약하기 때문입니다.,일반정보

침입차단시스템과 방화벽의 차이는 무엇인가요?,"침입차단시스템(IPS)은 방화벽보다 더 고급 기능으로, 실시간으로 패킷을 분석하여 위협을 차단합니다.",기술정보
통합보안관리의 장점은 무엇인가요?,"여러 보안 장비를 중앙에서 통합 관리하여 관리 효율성이 높고, 보안 정책을 일관되게 적용할 수 있습니다.",기술정보
보안 로그 분석은 왜 필요한가요?,보안 사고 발생 시 원인 분석과 대응을 위해 필수적이며 사전 위협 탐지에도 도움이 됩니다.,기술정보
지능형 위협이란 무엇인가요?,기존 보안 솔루션을 우회하는 고도화된 공격 기법으로 APT 공격 등이 포함됩니다.,기술정보
보안 정책은 무엇인가요?,네트워크와 시스템의 보안을 위해 수립된 규칙과 절차의 집합입니다.,기술정보

퓨쳐시스템은 어떤 산업 분야에 솔루션을 제공하나요?,"금융, 제조, 공공기관, IT 등 다양한 산업 분야에 보안 솔루션을 제공합니다.",산업분야
공공기관에도 솔루션을 제공하나요?,"네, 공공기관을 포함한 다양한 분야에 보안 솔루션을 제공하고 있습니다.",산업분야
금융권 보안 솔루션도 제공하나요?,"네, 높은 보안 수준이 요구되는 금융권에도 솔루션을 제공하고 있습니다.",산업분야

퓨쳐시스템의 미래 계획은 무엇인가요?,안전한 디지털 환경 구축을 선도하는 국내 최고의 정보보호 전문기업으로 성장하는 것입니다.,미래비전
신기술 개발도 진행하나요?,"네트워크 보안 분야의 기술 발전에 맞춰 지속적으로 신기술 개발과 솔루션 고도화를 진행하고 있습니다.",미래비전
클라우드 시대에 퓨쳐시스템의 전략은 무엇인가요?,클라우드 환경에 특화된 보안 솔루션을 강화하여 안전한 클라우드 전환을 지원하는 것입니다.,미래비전

이 챗봇은 누가 개발했나요?,동서울대학교 AI융합소프트웨어학과 염재준 학생이 개발했습니다.,개발자정보
염재준은 누구인가요?,동서울대학교 AI융합소프트웨어학과 학생으로 이 챗봇 시스템을 캡스톤디자인 프로젝트로 개발했습니다.,개발자정보
개발자 연락처는 어떻게 되나요?,염재준 학생 전화번호는 010-3839-3418입니다.,개발자정보
염재준 전화번호 알려줘,010-3839-3418입니다.,개발자정보
염재준 이메일 주소는?,wownsdl0129@gmail.com입니다.,개발자정보
개발자 이메일 알려줘,염재준 학생의 이메일은 wownsdl0129@gmail.com입니다.,개발자정보
염재준 GitHub 주소는?,https://github.com/duawowns 입니다.,개발자정보
개발자 깃허브 알려줘,https://github.com/duawowns에서 확인할 수 있습니다.,개발자정보
염재준은 몇 학년인가요?,4학년입니다.,개발자정보
염재준 학번은?,2482019입니다.,개발자정보
지도교수는 누구인가요?,조민양 교수님이 이 프로젝트의 지도교수입니다.,개발자정보
현장교사는 누구인가요?,퓨쳐시스템의 김인태 선임이 현장교사로 프로젝트를 지도했습니다.,개발자정보
프로젝트 기간은 어떻게 되나요?,2025년 8월 30일부터 11월 28일까지 총 120시간 진행되었습니다.,개발자정보
어떤 기술로 개발했나요?,"Streamlit, Ollama, LangChain, ChromaDB, BGE-M3, FlashRank 등 2025년 최신 기술 스택으로 개발했습니다.",개발자정보
왜 이 프로젝트를 만들었나요?,퓨쳐시스템의 회사 정보를 24시간 자동으로 안내하여 고객 편의성을 높이기 위해 개발했습니다.,개발자정보
개발 팀은 몇 명인가요?,염재준 학생 1명이 개발했습니다.,개발자정보
소속 학과는 어디인가요?,동서울대학교 AI융합소프트웨어학과입니다.,개발자정보
